id,name_CHN,start date,end date,subject type,alma mater
1139022,陳訓秋,1990 / 9,1991 / 7,未知,中共中央黨校一年制青年幹部培訓班學習
1139022,陳訓秋,1994 / 9,1997 / 1,經濟與管理,中共中央黨校經濟管理專業研究生班學習
1139022,陳訓秋,1994 / 9,1997 / 6,經濟與管理,華中師範大學政治經濟學碩士學習
1139022,陳訓秋,1995 / 9,1996 / 7,未知,中共中央黨校一年制中青年幹部培訓班學習
1144800,陳衛建,,,經濟與管理,曾就讀於清華大學經管系企業管理研究生班
1144800,陳衛建,,1965,自然科學,浙江大學水力機械專業
1144800,陳衛建,1988,,,高級工程師
1140795,陳虹,,,自然科學,同濟大學工業自動化專業學習
1139500,陳蘇厚,1983 / 8,1985 / 7,未知,中央黨校幹部大專文化進修班學習
1160345,陳蘇,1999 / 9,2003 / 7,自然科學,哈工大材料科學與工程學院讀本科
1160345,陳蘇,2003 / 9,2010 / 12,自然科學,哈工大材料科學與工程學院碩博連讀
1143940,陳蔚文,1973,1975,自然科學,廣東省海南中醫院學習
1143940,陳蔚文,1979,1982,自然科學,廣州中醫學院臨床中藥專業碩士研究生學習
1143940,陳蔚文,1984 / 2,1985 / 1,,廣州外國語學院進行法語培訓
1143940,陳蔚文,1985,1988,自然科學,法國巴黎第七大學Xavier-bichat醫學院細胞生物學專業博士研究生學習
1143940,陳蔚文,1990 / 9,1991 / 7,,中央黨校培訓部台籍班學習
1143940,陳蔚文,1999 / 9,2000 / 1,,中央黨校培訓部台籍班學習
1143979,陳萬志,1963 / 9,1968 / 9,自然科學,合肥工業大學機械工程系鑄造專業學習
1143979,陳萬志,1979 / 9,1982 / 3,自然科學,重慶大學機械工程二系鑄造專業碩士研究生
1144554,陳華祥,1973 / 10,1976 / 7,人文科學,四川大學歷史系歷史專業學習
1144554,陳華祥,1993 / 9,1994 / 7,,中央黨校中青班學習
1144554,陳華祥,2003 / 9,2006 / 6,,貴州省委黨校在職研究生班行政學專業學習
1144554,陳華祥,2007 / 7,2007 / 9,,貴州省委黨校地廳班學習
1141404,陳華堂,1936 / 8,,未知,延安抗日大學學習
1141404,陳華堂,1941 / 10,,未知,中共中央山東分局高級黨校學習
1141404,陳華堂,1960 / 8,1962 / 3,,解放軍高等軍事學院速成系一期一班學員
1153150,陳茂波,1977,,,香港中文大學新亞書院會計系
1153150,陳茂波,1984,,,中大工商管理學碩士
1139630,陳芸,,,人文科學,福建師範學院中文系漢語言文學專業畢業
1144031,陳艷華,,1973,,中央黨校大專學歷
1144801,陳良宇,,,,上海鐵路職工子弟學校高中部六三一班
1144801,陳良宇,1963 / 8,1968 / 8,自然科學,解放軍後勤工程學院建築系結構專業
1144801,陳良宇,1979 / 2,1980 / 1,自然科學,同濟大學工程結構系
1144801,陳良宇,1982 / 9,1983 / 4,自然科學,上海市機電一局黨校幹部輪訓班
1144801,陳良宇,1992 / 1,1992 / 9,社會科學與法律,英國伯明罕大學公共政策學院
1138242,陳至立,1959 / 9,1964 / 7,自然科學,復旦大學物理系固定物理專業（自然科學．物理，本科）
