id,name_CHN,name_PINYIN,sex,ethnicity,edu,studying_abroad,studying_abroad_country,birthdate,deathdate,ancestral hometown,professional title,date of starting to work,birthplace,party,date of joining the party,CYL,special relationships,notes
1139455,張桃林,Zhang Taolin,男,漢族,研究生,訪問學者,其他,1961/5,,江蘇 姜堰,研究員,1985/7,,非中國共產黨,,否,,九三學社成員
1161204,張桂華,Zhang Guihua,女,漢族,大學本科,,,1976/8,,河北 樂亭,,1999/7,,中國共產黨,1996/12,正副處級,,
1144603,張桂芳,Zhang  Guifang,男,漢族,大學專科,,,1952/8,,廣東 從化,,1972/7,,中國共產黨,1973/7,正副處級,,
1142545,張根生,Zhang Gensheng,男,漢族,中學以下,,,1923/3,2008/4,河北 安平,,1938/1,,中國共產黨,1938/9,否,,
1138276,張柏林,Zhang Bolin,男,漢族,大學本科,否,,1942/8,,遼寧 營口,,,,中國共產黨,1972/8,否,,愛好：運動、看書、聽音樂
1159637,張果,Zhang Guo,男,漢族,研究生,其他,西歐,1971/7,,四川 萬源,,1994/7,四川 萬源,中國共產黨,1993/11,正副處級,,
1143544,張林池,Zhang Linchi,男,漢族,大學本科,,,1911/4,2002/10,河北 清苑,,1937/9,,中國共產黨,1937/11,否,,
1142755,張林,Zhang Lin,男,漢族,,學位,俄國,1914/5,1982/8,山東 平度,,,,中國共產黨,1936/12,否,,原名郝長發，曾用名張樹仁、郝光
1144318,張林,Zhang Lin,男,,,,,,,黑龍江 綏化,少將,,,中國共產黨,,,,
1143698,張東升,Zhang Dongsheng,男,藏族,大學專科,,,1953/12,,四川 爐霍,,1968/6,,中國共產黨,1979/9,否,,
1144671,張杰輝,Zhang Jiehuei,男,漢族,研究生,,,1957/1,,遼寧大連 寬甸,,1975/7,,中國共產黨,1976/9,,,
1161661,張本信,Zhang Benxin,男,,,,,,,,,,,中國共產黨,,,,
1141992,張朝忠,Zhang Chaozhong,男,漢族,,,,1920,2004,直隸慶雲(今屬山東),,1937,,中國共產黨,1937,否,,
1138910,張曦,Zhang Xi,男,漢族,大學本科,,,1945/11,,浙江 寧波,,1967/9,,中國共產黨,1985/6,否,,
1139797,張曙光,Zhang Shuguang,男,漢族,中學以下,,,1922/12,2002/11,河北 饒陽,,1938/2,,中國共產黨,1938/2,副局級以上,,"原名韓志洪又名韓建勋"
1139105,張曉蘭,Zhang Xiaolan,女,漢族,研究生,學位,其他,1965/11,,重慶,工程師,1989/7,,中國共產黨,1984/12,副局級以上,,赴澳大利亞參加由中組部主辦的「小康社會領導者培訓項目」第1期現代農業發展與農村建設專題研究班學習
1142425,張曉東,Zhang Xiaodong,男,漢族,大學專科,,,1909/2,1988/2,河東省 曲陽縣,其他專業頭銜,1983/6,,中國共產黨,1931/8,否,,又名張嘯南
1141825,張曉明,Zhang Xiaoming,男,漢族,研究生,,,1964,,江蘇 泰興,,1986/7,江蘇 泰興,中國共產黨,,否,,
1172451,張曉明,Zhang　Xiaoming,男,,,,,,,,少將,,,中國共產黨,,,,
